# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Mar 11 13:34:12 CET 2022 [seed=1647002049270]
# -save_every 100000 -save_state tanzania_cp3.states tanzania_cp3.xml
state	gps
0	{-1.331277182677433,34.36876370963557}
400000	{-1.924629573279786,34.74207215423641}
800000	{-1.864829517138089,34.016091207242795}
1200000	{-1.73674009036756,34.41989697442434}
1600000	{-1.8422970298868595,34.84370302818873}
2000000	{-1.8393321097868713,34.6833456338648}
2400000	{-1.8753215937312713,34.521137803999586}
2800000	{-1.844870825542946,34.694989718459425}
3200000	{-2.014787266070699,34.77781014197883}
3600000	{-1.8480333413961474,34.67495240248089}
4000000	{-2.141278882196837,34.6687729325731}
4400000	{-1.9346312463372664,34.81058859066551}
4800000	{-1.7380673533748159,34.50397917154453}
5200000	{-1.8333206331127634,34.63231653231481}
5600000	{-1.773691883565252,34.69149474744993}
6000000	{-1.8821631793733096,34.64580914912425}
6400000	{-1.8555527910527838,34.62116194051335}
6800000	{-1.8415787109627035,34.62619458199077}
7200000	{-1.8660391792023883,34.709158045877196}
7600000	{-1.8607762434149018,34.62524216836355}
8000000	{-1.8687401519901947,34.47415981328622}
8400000	{-1.872291922681012,34.75473175667703}
8800000	{-1.7990918986899238,34.65358206261822}
9200000	{-1.866397922082074,34.744614074636395}
9600000	{-1.7419156342011743,34.38390660616889}
10000000	{-1.8274993030306699,34.54692782839521}
10400000	{-1.7518991025840063,34.55433640213352}
10800000	{-1.9016471153495134,34.51610003164825}
11200000	{-1.7309865762129375,34.849288846879546}
11600000	{-1.7212048834558302,34.66931492782183}
12000000	{-1.833277169844386,34.68640910920749}
12400000	{-1.731501951585348,34.69722393484531}
12800000	{-1.8292472602784262,34.59186927330928}
13200000	{-1.7696453773272172,34.458355567269095}
13600000	{-1.6974535414930791,34.824100566501954}
14000000	{-1.7854772018549203,34.66327837802081}
14400000	{-1.8021229345890346,34.62468317421104}
14800000	{-1.7497899155284269,34.77862705931531}
15200000	{-1.9969765922794374,34.56875189423107}
15600000	{-1.7590112986504085,34.96929223918038}
16000000	{-1.7166454560231337,34.510115949740694}
16400000	{-1.832527878720514,34.60871259303345}
16800000	{-1.8239361972086254,34.79733055625513}
17200000	{-1.8226122432603111,34.722996274028276}
17600000	{-1.9154030862895168,34.747456203090366}
18000000	{-1.7360827110070693,34.438039905628635}
18400000	{-1.8756353606184653,34.682680996814966}
18800000	{-1.8065656159646777,34.334820396773026}
19200000	{-1.601080382793583,34.637418003087525}
19600000	{-1.843502452404807,34.508289604564126}
20000000	{-1.895843454923529,34.69406431074856}
20400000	{-1.8515242137843784,34.80402229489289}
20800000	{-1.8437513913576795,34.50917448637539}
21200000	{-1.7766735634722997,34.634277606423595}
21600000	{-1.7849960151614175,34.46959334872955}
22000000	{-1.846156916022024,34.67800387011753}
22400000	{-1.8439899351583608,34.66192159866999}
22800000	{-1.8912638274747426,34.7758285757552}
23200000	{-1.767178552038949,34.744911643366805}
23600000	{-1.747121346831188,34.54615063515159}
24000000	{-1.8727337105236916,34.53597522398201}
24400000	{-1.7851558843311806,34.632892399825586}
24800000	{-1.7002497413368987,34.66654871359547}
25200000	{-1.7958192954695398,34.586375173407745}
25600000	{-1.6938918039809523,34.57413229827118}
26000000	{-1.7834780387960565,34.75154645559148}
26400000	{-1.8137144639604035,34.586273613086796}
26800000	{-1.6460773332196643,34.641081816161005}
27200000	{-1.805584536816122,34.663113976716176}
27600000	{-1.8524382198896445,34.536300656165096}
28000000	{-2.0254252089745397,34.79915858859952}
28400000	{-1.8602348053910083,34.73488006792893}
28800000	{-1.8727967214835386,34.61119058562754}
29200000	{-1.832396263557474,34.38725375765445}
29600000	{-1.9552924259735274,34.81255442296509}
30000000	{-1.7637355025054764,34.69776983397173}
30400000	{-1.7719792753747234,34.906734610571164}
30800000	{-1.8891737169061675,34.45927177541345}
31200000	{-1.7227407335307365,34.48128503798557}
31600000	{-1.7257616112589285,34.5970771338281}
32000000	{-1.8962314986761832,34.57229347777997}
32400000	{-1.7395598362764741,35.02378037611018}
32800000	{-1.7293629073465904,34.4532398103601}
33200000	{-1.8358836785431245,34.655650652281146}
33600000	{-1.7009428077359066,34.380853231295916}
34000000	{-1.8082195366712595,34.73914148490572}
34400000	{-1.7251628084461237,35.17640146924466}
34800000	{-1.85915925617902,34.61272425293337}
35200000	{-1.6745034056387256,34.50254635285095}
35600000	{-1.8686400730858355,34.44170276282037}
36000000	{-1.909996984379331,34.673285648368264}
36400000	{-1.7452542888024796,34.579963618277056}
36800000	{-1.963328499131506,34.61460906596331}
37200000	{-1.7411076969325165,34.674590392395004}
37600000	{-1.9052673747015543,34.686620742514}
38000000	{-1.912254582023343,34.686400964259505}
38400000	{-1.8398093762540675,34.85218307385933}
38800000	{-1.8330252239380833,34.554099551385086}
39200000	{-1.8790675805062702,34.709978113614035}
39600000	{-1.818605978883318,34.52000281072587}
40000000	{-1.7893942478522165,34.66145830030565}
40400000	{-1.915774749608779,34.51360732334923}
40800000	{-1.906975193127211,34.607581014162825}
41200000	{-1.8623011975952213,34.82623963577474}
41600000	{-1.7100159459086453,34.76626966760499}
42000000	{-1.9024098390818898,34.741510216748225}
42400000	{-1.6502087385584416,34.58568898679126}
42800000	{-1.4237538738129818,34.47874345171398}
43200000	{-1.8063874363015096,34.68269090663744}
43600000	{-1.8299988202447242,34.601264963393476}
44000000	{-1.6773787542273435,34.56168673057618}
44400000	{-1.5309190341041292,34.591638067128336}
44800000	{-1.9101322721389165,34.60752454779771}
45200000	{-1.809183571734759,34.62798718993751}
45600000	{-1.8984045923608033,34.80876211735143}
46000000	{-1.852965428367885,34.745578048369374}
46400000	{-1.7299881111409947,34.694468615247764}
46800000	{-1.8449665067552878,34.74072885863798}
47200000	{-1.8977925549525458,34.7657448759843}
47600000	{-1.9153276286949676,34.76248107200719}
48000000	{-1.8791681570100436,34.56765251578335}
48400000	{-1.9263741618580819,34.608981703389624}
48800000	{-1.5915892232517148,34.74130680497403}
49200000	{-1.791809446089276,34.62521532250556}
49600000	{-1.6454027004181817,34.51657209564344}
50000000	{-1.7866010403480765,34.75041911621329}
50400000	{-1.8472014080074486,34.541234993203666}
50800000	{-1.9031808034065465,34.63949163998646}
51200000	{-1.6316536408185252,34.65400666730587}
51600000	{-2.012082262494942,34.65258040969306}
52000000	{-1.878103314211824,34.75453811313293}
52400000	{-1.8241064744925,34.50746590725549}
52800000	{-1.923386993582503,34.58021224329454}
53200000	{-1.756573561319979,34.53043650915925}
53600000	{-1.8412082674330652,34.65592131545917}
54000000	{-1.8942807063339182,34.339648099840964}
54400000	{-1.8847383589195894,34.40949752601541}
54800000	{-1.7999192057440376,34.804511241409806}
55200000	{-1.8150399867649083,34.71648992937255}
55600000	{-2.004089572108224,34.777852127300726}
56000000	{-1.7617495371390532,34.645010469997175}
56400000	{-1.8902764993689156,34.75000712715879}
56800000	{-1.7800739349988404,34.73707454164697}
57200000	{-1.6988210432267754,34.519736413261406}
57600000	{-1.6605606813795029,34.45559406208235}
58000000	{-1.8691425720748198,34.76592038995408}
58400000	{-1.8634051987745255,34.82058906538756}
58800000	{-1.7657569202808452,34.6855121791196}
59200000	{-1.7117618880157721,34.70869883507855}
59600000	{-1.6711230077178227,34.45187253919855}
60000000	{-1.7775999870514176,34.506924499397954}
60400000	{-2.0037116233300103,34.77406495142922}
60800000	{-1.8952515267632803,34.505866733552295}
61200000	{-1.8669800627186186,34.74225948987797}
61600000	{-1.7087482463078307,34.46178062707292}
62000000	{-1.6655606936026541,34.08695937335444}
62400000	{-1.8893982142640506,34.55603492865428}
62800000	{-1.7767719311175927,34.513688450802775}
63200000	{-1.7411951432662978,34.560461534855}
63600000	{-1.676824081821784,34.57266507851938}
64000000	{-1.9760286435843606,34.69426358482211}
64400000	{-1.6620207006671095,34.56039179758839}
64800000	{-1.7344031728432996,34.77608161628468}
65200000	{-1.6715310218297819,34.728561429189554}
65600000	{-1.8998235106558328,34.722798176414045}
66000000	{-1.8345033938277382,34.69874802650399}
66400000	{-1.395929541788971,34.06988944755921}
66800000	{-1.8922315954970645,34.75102432758996}
67200000	{-1.8551950385998608,34.473075888282956}
67600000	{-1.8566163463566423,34.68842029548477}
68000000	{-1.8546630516235347,34.72910092177302}
68400000	{-2.104790636526258,34.65527885265539}
68800000	{-1.7651508093420574,34.34867474396223}
69200000	{-1.9213392706705221,34.473995187923855}
69600000	{-1.862208782697712,34.58134081252029}
70000000	{-1.8331008182123696,34.5966765907385}
70400000	{-1.9318451913253103,34.662272738551735}
70800000	{-1.8016412633263825,34.5328623476232}
71200000	{-1.772231423832054,34.677860545697555}
71600000	{-1.9237257121797837,34.7470948888301}
72000000	{-1.9142482555988984,34.759523379373945}
72400000	{-1.7458357410240761,34.49883171235228}
72800000	{-1.683360090987538,34.45780245789983}
73200000	{-1.5929919665721006,34.61657590549541}
73600000	{-2.0296312339914624,34.77215131461713}
74000000	{-1.6865892793088149,34.7116410661716}
74400000	{-1.9392539562330933,34.802792126313065}
74800000	{-1.6775701545146138,34.62542637894061}
75200000	{-1.7736485412194878,34.58290247367658}
75600000	{-1.7764911058907995,34.50987580107036}
76000000	{-1.819531918357955,34.71968850959514}
76400000	{-1.81403895031884,34.77778707824307}
76800000	{-1.88457067069629,34.7319908981213}
77200000	{-1.7904206177868784,34.67511285852871}
77600000	{-1.7490008103196724,34.48225067790878}
78000000	{-1.9012046844968922,34.82706702320678}
78400000	{-1.7787712125321615,34.47252306847052}
78800000	{-1.8329108380259709,34.66752557657}
79200000	{-1.9409560675229516,34.66702462262603}
79600000	{-1.8790101317425236,34.59332433154182}
80000000	{-1.611997648879004,34.543523863422784}
80400000	{-1.7361696523291215,34.57332052509284}
80800000	{-2.0162683384736133,34.64223010659112}
81200000	{-1.741103737459405,34.613596121951765}
81600000	{-1.8326255026143115,34.61557890735693}
82000000	{-1.636977242681897,34.34159245696139}
82400000	{-1.8786108638614767,34.6899897785226}
82800000	{-1.6751877593055937,34.54977284657571}
83200000	{-2.0252724445545947,34.70082752615241}
83600000	{-1.8925227047968474,34.555478162984876}
84000000	{-1.7238065441541015,34.65038179084043}
84400000	{-1.8057532472384252,34.72218978686617}
84800000	{-1.7480430665735756,34.63534357104816}
85200000	{-1.8649659262220404,34.530844267430474}
85600000	{-1.9624797099822067,34.437327516641204}
86000000	{-1.7755018759826873,34.459712492912786}
86400000	{-1.896570223546511,34.74232147292003}
86800000	{-1.6647808162171667,34.6329672712342}
87200000	{-1.8859508556501303,34.64246425886837}
87600000	{-1.7946232533522892,34.56758112158942}
88000000	{-1.903846072339228,34.8258839240902}
88400000	{-1.8175346439473645,34.64559748536671}
88800000	{-1.9145226318670086,34.59985926272447}
89200000	{-1.8997180157086815,34.74681190974683}
89600000	{-1.6091604470827903,34.36618738215247}
90000000	{-1.8129275474068958,34.627354334318206}
90400000	{-1.760935430719658,34.49426656001037}
90800000	{-1.8007958733666065,34.56673335427017}
91200000	{-1.7266384127489012,34.56171731026749}
91600000	{-1.8440270255207716,34.64194999599859}
92000000	{-1.7800972263774253,34.47759671520368}
92400000	{-1.7064345315918321,34.63562587748657}
92800000	{-1.793209996185599,34.68405992655951}
93200000	{-1.8081790087485916,34.98462052903802}
93600000	{-1.8539790467533417,34.72838001104803}
94000000	{-1.9871292977847925,34.841532871704125}
94400000	{-1.8152455083278545,34.634291762953126}
94800000	{-1.830670523552615,34.64810299915814}
95200000	{-1.715230078168521,34.59080284235347}
95600000	{-1.7811469918733411,34.598516412733055}
96000000	{-1.8094369358741431,34.45328549760401}
96400000	{-1.9325442975714022,34.56593239949829}
96800000	{-1.7386457776061872,34.578031822098254}
97200000	{-1.8118849289188856,34.59080399195211}
97600000	{-1.7889473123591553,34.60385873793568}
98000000	{-1.8224700913457101,34.60068779885191}
