node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km
352,353,7.280972058069,11.2306255577977,104.675050778098,11.1092107916851,104.666719349228,7.280972058069,0,1974.86705634754,1982.14802840561,13.5469548857418
353,354,5.736151738886,11.1092107916851,104.666719349228,10.9868062257154,105.177025399412,13.017123796955,7.280972058069,1982.14802840561,1987.88418014449,57.3973572220539
354,355,2.082983058746,10.9868062257154,105.177025399412,10.9096655451255,105.116647528837,15.100106855701,13.017123796955,1987.88418014449,1989.96716320324,10.8303178571246
355,55,20.66845323512,10.9096655451255,105.116647528837,11.2090730164961,104.713513849526,35.768560090821,15.100106855701,1989.96716320324,2010.63561643836,55.2351548388842
355,356,19.42726620844,10.9096655451255,105.116647528837,10.7522199215046,105.377067232365,34.527373064141,15.100106855701,1989.96716320324,2009.39442941168,33.4366157670433
356,50,2.189132232158,10.7522199215046,105.377067232365,14.184255668188,105.158336130682,36.716505296299,34.527373064141,2009.39442941168,2011.58356164384,382.806309529102
356,357,3.836973440993,10.7522199215046,105.377067232365,10.7544618770721,105.024811322402,38.364346505134,34.527373064141,2009.39442941168,2013.23140285267,38.5266726967377
357,358,0.3595495597419,10.7544618770721,105.024811322402,10.7494265409985,105.010829243172,38.7238960648759,38.364346505134,2013.23140285267,2013.59095241241,1.6287146024619
358,68,0.9816503273133,10.7494265409985,105.010829243172,10.6264950998356,104.991959145377,39.7055463921892,38.7238960648759,2013.59095241241,2014.57260273973,13.84001192684
358,359,0.1330620665117,10.7494265409985,105.010829243172,10.5485786141202,105.162656364953,38.8569581313876,38.7238960648759,2013.59095241241,2013.72401447893,27.8541527337038
359,39,4.22941017861,10.5485786141202,105.162656364953,10.6374281978276,105.055824093742,43.0863683099976,38.8569581313876,2013.72401447893,2017.95342465754,15.3132794593866
359,149,0.3335197676509,10.5485786141202,105.162656364953,10.6735624817589,105.657058908706,39.1904778990385,38.8569581313876,2013.72401447893,2014.05753424658,55.8582347897283
357,360,0.2481506185483,10.7544618770721,105.024811322402,10.7033321401239,105.022605342156,38.6124971236823,38.364346505134,2013.23140285267,2013.47955347122,5.69707208188012
360,361,1.355677026874,10.7033321401239,105.022605342156,10.5393309889495,105.062032646244,39.9681741505563,38.6124971236823,2013.47955347122,2014.8352304981,18.7599973124954
361,362,1.534103198188,10.5393309889495,105.062032646244,10.4823283705765,104.99478535612,41.5022773487443,39.9681741505563,2014.8352304981,2016.36933369628,9.71839444943498
362,103,0.5295734075439,10.4823283705765,104.99478535612,10.4777143852676,105.011020731087,42.0318507562882,41.5022773487443,2016.36933369628,2016.89890710383,1.84997193751545
362,64,0.3984258665602,10.4823283705765,104.99478535612,10.5050674697971,104.942986058945,41.9007032153045,41.5022773487443,2016.36933369628,2016.76775956284,6.20946962864191
361,234,0.7236736114955,10.5393309889495,105.062032646244,11.2361216643115,106.07219034584,40.6918477620518,39.9681741505563,2014.8352304981,2015.55890410959,134.9507707373
360,31,1.840994473986,10.7033321401239,105.022605342156,11.6288065056641,105.108975250076,40.4534915976683,38.6124971236823,2013.47955347122,2015.32054794521,103.458313705333
354,363,5.550353600584,10.9868062257154,105.177025399412,11.2987467999718,105.400097076196,18.567477397539,13.017123796955,1987.88418014449,1993.43453374508,42.4214540075811
363,364,1.153374939898,11.2987467999718,105.400097076196,11.3133507198093,105.256936903054,19.720852337437,18.567477397539,1993.43453374508,1994.58790868498,15.7122042512194
364,365,0.1586581477632,11.3133507198093,105.256936903054,11.0891815365075,105.00053778519,19.8795104852002,19.720852337437,1994.58790868498,1994.74656683274,37.5066449071841
365,366,6.13010073091,11.0891815365075,105.00053778519,10.9827515521098,104.898486504532,26.0096112161102,19.8795104852002,1994.74656683274,2000.87666756365,16.2701195246955
366,3,1.49319545005,10.9827515521098,104.898486504532,12.8950197331621,106.134794381401,27.5028066661602,26.0096112161102,2000.87666756365,2002.3698630137,251.88882200639
366,154,10.96442832676,10.9827515521098,104.898486504532,11.324106051237,104.093186961417,36.9740395428702,26.0096112161102,2000.87666756365,2011.84109589041,95.8137115732328
365,367,1.607252469207,11.0891815365075,105.00053778519,11.1164477750411,104.800565632077,21.4867629544072,19.8795104852002,1994.74656683274,1996.35381930195,22.0548828744761
367,368,1.848810706767,11.1164477750411,104.800565632077,11.0126348169894,104.771086387464,23.3355736611742,21.4867629544072,1996.35381930195,1998.20263000871,11.9972577787771
368,369,1.316755986307,11.0126348169894,104.771086387464,11.0125218113568,104.786168680458,24.6523296474812,23.3355736611742,1998.20263000871,1999.51938599502,1.64814857622083
369,236,11.04499756662,11.0125218113568,104.786168680458,10.7708512269591,104.670140678037,35.6973272141012,24.6523296474812,1999.51938599502,2010.56438356164,29.7437912185982
369,370,0.5806634436599,11.0125218113568,104.786168680458,11.0070734457129,104.779584731992,25.2329930911411,24.6523296474812,1999.51938599502,2000.10004943868,0.941013104182088
370,371,0.6503889993971,11.0070734457129,104.779584731992,11.0853994369859,104.792779428351,25.8833820905382,25.2329930911411,2000.10004943868,2000.75043843808,8.8379302370707
371,372,6.53072402809,11.0853994369859,104.792779428351,11.2810686008006,104.970489391451,32.4141061186282,25.8833820905382,2000.75043843808,2007.28116246617,29.174350395238
372,373,2.875153734875,11.2810686008006,104.970489391451,11.1839426578504,104.837058320209,35.2892598535032,32.4141061186282,2007.28116246617,2010.15631620104,18.1433167567756
373,112,2.198875055789,11.1839426578504,104.837058320209,11.1679346480681,104.921518420413,37.4881349092922,35.2892598535032,2010.15631620104,2012.35519125683,9.3946923374985
