Land_cover_forests_RABV_CA_04,Land_cover_savannas_RABV_CA_04,Land_cover_grasslands_RABV_CA_04,Land_cover_croplands_RABV_CA_04,Land_cover_water_RABV_CA_04,Human_pop_density_RABV_CA_04,Elevation_RABV_CA_04,Annual_mean_temperature_RABV_CA_04,Annual_precipitation_RABV_CA_04
0,0,0,25,0,364.706207275391,38.9599990844727,27.849666595459,1247
0,0,0,25,0,188.036926269531,6.92000007629395,27.8491668701172,1352
0,0,0,25,0,221.637466430664,9.76000022888184,27.9526672363281,1431
0,0,0,25,0,240.673522949219,2.96000003814697,27.5671672821045,1322
9,0,0,7,0,161.08740234375,5.55999994277954,27.6206665039062,1273
22,2,0,0,0,50.2757568359375,3.92000007629395,27.5896663665771,1269
0,0,0,24,0,571.620178222656,6.40000009536743,27.6298332214355,1290
0,0,0,20,5,320.576538085938,4.3600001335144,27.5086669921875,1281
25,0,0,0,0,33.2191314697266,95.7200012207031,26.7036666870117,1667
4,21,0,0,0,21.959545135498,90.7600021362305,26.6564998626709,1668
25,0,0,0,0,4.57095098495483,99.6399993896484,26.3761672973633,1683
6,2,0,0,3,38.4419631958008,3.88000011444092,27.5053329467773,1252
21,4,0,0,0,145.286224365234,3.88000011444092,27.5833339691162,1264
0,0,0,25,0,333.329376220703,7.40000009536743,27.8948345184326,1348
0,0,0,3,22,73.7206573486328,3.44000005722046,27.5576667785645,1308
0,0,0,25,0,210.254867553711,8.27999973297119,27.7536659240723,1330
13,0,0,4,0,68.977409362793,4.80000019073486,27.5906658172607,1283
0,0,0,25,0,85.8971481323242,4,27.8461666107178,1413
0,0,0,25,0,99.670524597168,10.6000003814697,27.9198341369629,1528
0,0,0,6,19,94.9276733398438,3.83999991416931,27.5508327484131,1355
0,0,0,21,4,141.694931030273,17.3999996185303,27.4219989776611,1684
0,0,5,19,0,52.3538627624512,10.6000003814697,27.9098339080811,1379
0,0,0,25,0,177.323547363281,12.8800001144409,27.9204998016357,1518
0,0,0,25,0,225.867233276367,12.1199998855591,27.9156665802002,1495
7,0,0,18,0,43.3727188110352,82.0400009155273,27.1060009002686,3051
0,0,0,20,5,280.797637939453,5,27.6598339080811,1324
0,0,0,21,4,206.461227416992,17.3999996185303,27.4219989776611,1684
0,0,0,25,0,70.1766052246094,3.11999988555908,27.7853336334229,1379
