1,Ta Poy,490786,1314119
2,Khsach Prachheh Kandal,565500,1358868
3,Phum Ti Muoy,585601,1354354
4,Srangae Cheung,517480,1332393 
5,Dab Dabmuoy,571934,1329261
6,Krang Srama,453377,1301539
7,Prey Rumduol Khang Cheung,448059,1230602
8,Trapeang Tuk,458389,1232151
9,Hangs,457361,1230575
10,Tram Sasar,452632,1237560
11,Khnar Ta Nong,451887,1238730
12,Trapeang Prei,446537,1239512
13,Prey Ta Mean,464730,1249731
14,Ta Reach,462835,1242733
15,Dot Kambaor,474130,1260470
16,Prey Dang Tuek,468531,1260352
17,Krasang Chi Meae,469853,1252804
18,Sdok Taol Thmei,457738,1291717
19,Angkrong,469932,1298919
20,Prey Totueng,410445,1264418
21,Chi Aok,510160,1367864
22,Ballangk Khang Lech,489828,1403705
23,Tumnob,518309,1416756
24,Trapeang Srae,461406,1196751
25,Prey Krala Khang Lech,453004,1179425
26,Chhay,450402,1184840
27,Touch,445219,1200648
28,Ta Noan,445668,1199444
29,Trapeang Thma,423083,1194301
30,Trapeang Prei,440896,1207254
31,Prei Pir,438680,1180410
32,Snao Touch,434339,1189582
33,Krouch Saeuch,473353,1265633
34,Preaek Ta Meak,501129,1298453
35,Pratheat,507010,1220388
36,Borei Kammeakkar,473993,1272481
37,Thnal Totueng,463688,1270711
38,Phum Angk,477877,1265621
39,Chan Ra Ka,555394,1243476
40,Pranhang,546643,1254678
41,Prasat,559293,1232389
42,Kandach,546171,1288468
43,Kouk Chres,572667,1245994
44,Prey Sangkum,570007,1258244
45,Trapeang Skon,558213,1251957
46,Veang,559593,1251934
47,Ta Mau,553786,1252438
48,Prey Rumdeng,570741,1248682
49,Pong Tuek,569226,1246959
50,Prey Preah Andoung,564255,1259154
51,Pou Ta Mom,561366,1257493
52,Ta Preah,515025,1276643
53,Prohut,526261,1295543
54,Prey Ba Srei,538923,1231344
55,Kakruos,594254,1212262
56,Kranhung,578210,1256478
57,Mream Khang Tboung,573362,1254709
58,Kien Sang,587226,1225658
59,Prey Ba Soeng,493421,1221446
60,Ta Ei,495187,1221724
61,Ta Pov,470500,1175390
62,Trapeang Krouch,494211,1226969
63,Prey Kabbas Ko,494767,1226524
64,Prey Lvea Kaeut,496484,1233553
65,Prey Phdau Tboung,485984,1231124
66,Khnach Khang Tboung,467639,1230316
67,Tonloab,477453,1225906
68,Kbal Samraong,481863,1223661
69,Tuol Khlong,444409,1227106
70,Ta Moch,460222,1220008
71,Pratheat,507010,1220388
72,Prey Khvaek,543269,1282364
