1,Stueng Chveng,500663,1317497
2,Chea Lea,492654,1316780
3,Sangkaeub,488726,1313546
4,Thnal Baek Lech,530595,1360671
5,Srae Prang,523179,1369241
6,Prey Char Krau,510152,1327471
7,Sampong Chey,514124,1347063
8,Pra Boeng,505566,1336662
9,Sangkae,510308,1340531
10,Kdoy,506923,1339631
11,Ou Thnong,538917,1334573
12,Kang Ta Noeng Ti Buon,507447,1309957
13,Varint Ti Bei,514538,1314892
14,Damnak Snay,529816,1320921
15,Peam Knong,529314,1325558
16,Preaek Liv Ti Muoy,514252,1313640
17,Svay Sranaoh Ti Muoy,512304,1310514
18,Roka Ar,510272,1310200
19,Lvea Kraom,501817,1311072
20,Boeng Sang Kaeut,520653,1320656
21,Preaek Kruos,519576,1324592
22,Damnak Pring Lech,545786,1308887
23,Khsach Prachheh Leu,566822,1359031
24,Salang Bei,619052,1313107
25,Thma Da,520355,1347259
26,Chheu Bak,519349,1347145
27,Kralaong,526015,1330901
28,Khnar Sar,511500,1303300
29,Roka Tvear,512513,1308086
30,Chras,511243,1307185
31,Santey,512036,1307970
32,Svay Kraom,519232,1316616
33,Srae Ruessei,445106,1301479
34,Krang Doung,449866,1298028
35,Hangs,457361,1230575
36,Thmei,455994,1238252
37,Chranieng Thmei,460251,1226175
38,Khley Thmei,458379,1227832
39,Trapeang Khyang,466549,1236450
40,Toap Mreak,446346,1236796
41,Krang Traok,447336,1236425
42,Kbal Thnal,451216,1238090
43,Trapeang Pring,451794,1237196
44,Trapeang Sya,456188,1241404
45,Slab Leaeng,454735,1239406
46,Tnaot Mdaeum,445996,1234675
47,Prey Ba Krong,445875,1235045
48,Angk Roung,467063,1243280
49,Boeng Prasrae,461513,1255178
50,Snuol,461118,1246103
51,Ta Daes,404893,1290572
52,Bat Doeng,467446,1291332
53,Kouk Sandaek,449748,1279680
54,Ampil Rung,472240,1301627
55,Trapeang Thum,451016,1290405
56,Trapeang Tuk,461887,1280822
57,Trapeang Sophi,462725,1281263
58,Angk Khmau,461534,1273141
59,Tras,515135,1380566
60,Chi Aok,510160,1367864
61,Chong Doung,512420,1377013
62,Chiveakpheap,516577,1358822
63,Tang Kouk,514126,1352869
64,Khloy Lech,514610,1353158
65,Svay Msau,514188,1361479
66,Tiem Chas,496920,1410780
67,Trapeang Srae,461406,1196751
68,Angk Rumduol,461530,1194846
69,Chak Chrum,450439,1195198
70,Dan Koum Khang Cheung,455112,1199603
71,Pech Changva,462241,1189538
72,Trapeang Khva,465902,1190428
73,Kaksekar,455377,1201509
74,Kanlang,453816,1171992
75,Svay Ph'aem,447833,1187114
76,Ta Lang,444325,1194741
77,Trapeang Kakaoh,440061,1193347
78,Choar Dom,448360,1193213
79,Trapeang Leuk,447204,1195053
80,Krang Sbov,446307,1193530
81,Chheu Teal Chrum,448732,1197932
82,Thmei,438787,1204743
83,Prey Khcheay,438926,1211696
84,Thum Thmei,438331,1184085
85,Khcheay Khang Cheung,442282,1181097
86,Preaek Kokir,443866,1180804
87,Changkieng Khang Kaeut,446618,1182334
88,L'ang,428142,1185616
89,Tboung Damrei,512540,1285789
90,Preaek Ta Tep,495506,1285662
91,Preaek Thaong,495208,1285472
92,Ta Kaev Ti Pir,507656,1289368
93,Lvea Sa Leu,520104,1266643
94,Peam Ta Aek,503157,1276343
95,Preaek Char,527608,1261839
96,Peam,500031,1310002
97,Speam Thmei,497845,1308920
98,Trayueng,467845,1272818
99,Trapeang Phum,468148,1272009
100,Chamkar Kuoy,470403,1269077
101,Svay,477901,1290498
102,Boeng Kdol,483367,1295102
103,Ampil Rung,472724,1301512
104,Chakto Tis,475438,1305932
105,Preaek Kaev,503543,1245876
106,Sampan Kraom,505082,1238628
107,Preaek Run,500350,1255766
108,Krapeu Ha,493901,1267980
109,Andoung Tuek,333279,1237006
110,Phum Damnak Thum,488811,1275401
111,Phum Sansam Kosal 2,490365,1274093
112,Ta Mau,551644,1252366
113,Kandal,551653,1253205
114,Thloak,554613,1248997
115,Pranhang,546643,1254678
116,Tnaot,556589,1288617
117,Prey Andoung,559446,1237647
118,Kouk Kong Lech,564385,1296413
119,Boeng,569354,1253224
120,Pou Poat,557203,1257597
121,Prey Trakhob,561834,1250866
122,Yeang Touch,558463,1254721
123,Kruos,556365,1252529
124,Sambuor,556136,1251785
125,Prey Chek,570841,1250255
126,Preaek Khsay,531338,1246570
127,Prey Sniet,527630,1284836
128,Prey Daeum Thnoen Ti Muoy,542059,1301047
129,Mondol Bei,377450,1478264
130,Krang Leav,565468,1216220
131,Kampong Luong,497548,1215260
132,Phnum Bourei,497823,1209490
133,Thma Sa,473786,1248157
134,Thnal Bat,493750,1230798
135,Char,491317,1237490
136,Angk Sangkae,494065,1228631
137,Trapeang Krouch,494211,1226969
138,Prey Kabbas Ka,494400,1226993
139,Prey Lvea Kaeut,496484,1233553
140,Pech Changva,468061,1229248
141,Hang Heng,468967,1227000
142,Trapeang Khlouk,466863,1233842
143,Khvav,469870,1236064
144,Trapeang Kak,463362,1223628
145,Ta Phem,459465,1216821
146,Prey Ba Krong,445875,1235045
147,Phsar Slab Leaeng,454735,1239406
148,Svay Sranaoh Ti Muoy,512304,1310514
149,Varint Ti Bei,514538,1314892
150,Prey Khcheay,438926,1211696
151,Thnal Bat,493750,1230798
152,Thmei,438787,1204743
153,Prey Sniet,527630,1284836
154,Kruos,556365,1252529
155,Krang Sbov,446307,1193530
156,Prey Voa,554813,1270564
157,Kandal,554152,1264206
158,Svay Antor Ti Muoy,546052,1280974
159,Prey Khla Ti Muoy,546576,1284649
160,Ou Kandaol Tboung,548185,1271317
