city,lon,lat,year,sample_ID
Prasaeur,105.321044847548,12.1758541159538,2017,XXXX
Phum Ti Prammuoy,105.458875924966,11.9908010986638,2017,XXXX
Boeng Trav,105.162921481121,11.9617928801829,2017,XXXX
Pou,105.086174632167,11.7927685569895,2017,XXXX
Chantum,105.637038940725,11.8496181020663,2017,XXXX
Meanok Kaeut,104.626757723682,11.8730042567919,2017,XXXX
Khlouk,104.513890658558,11.1995803728805,2017,XXXX
Trapenang Antong,104.64543862611,11.6683315419552,2017,XXXX
Oknha Tep,104.663398178151,11.473004180944,2017,XXXX
Tranh Veaeng,104.424963703635,11.749960208524,2017,XXXX
Samraong,105.089766622185,12.4073056501855,2017,XXXX
Toap Sdach,104.616848849709,10.7069310596011,2017,XXXX
Trapeang Lbaeuk,104.356717578271,10.782686403217,2017,XXXX
Doun Ov,104.440722242626,10.924763055832,2017,XXXX
Ta Kaev Ti Pir,105.070243563884,11.663703334647,2017,XXXX
Phsar Daek Kraom,104.770663800872,11.8071225327126,2017,XXXX
Phum Prey Tear,104.840604879767,11.5154881051519,2017,XXXX
Tean Phleung,105.629594299416,11.5537906374614,2017,XXXX
Chong Ampil,105.424439899455,11.6637965486434,2017,XXXX
Prey Chek,105.649139968055,11.3092735104284,2017,XXXX
Prey Sniet,105.253466475246,11.6226149074733,2017,XXXX
Angk Svay,105.916730018306,11.021003803905,2017,XXXX
Kampong Luong,104.977555291688,10.9934926102461,2017,XXXX
Buor,104.756648192787,10.6226717146121,2017,XXXX
Prey Chambak,104.856114500024,11.1986750388156,2017,XXXX
Phnom Penh,104.91750189559,11.5591648199252,2017,XXXX
Phnom Penh 3,104.89805643138,11.6147227328659,2017,XXXX
Boeng Trav,105.162921481121,11.9617928801829,2017,XXXX
Prey Khmaer,104.688413328881,11.3524712757449,2017,XXXX
Prey Chek,105.649139968055,11.3092735104284,2017,XXXX
Pra Boeng,105.051147611017,12.0914088426464,2017,XXXX
Prey Andoung,105.54451309404,11.1954643239765,2017,XXXX
Thloak,105.500422134989,11.2981855466201,2017,XXXX
Kakruos,105.86265387825,10.9651587749092,2016,XXXX
Prey Lieb,104.785169005049,10.5880442688086,2015,XXXX
Bang Kokir,103.76074379732,10.5824440136578,2015,XXXX
Andoung Tuek,103.473065133659,11.1862647749792,2013,XXXX
Kampong Sambuor,103.219713226862,13.1271597126024,2014,XXXX
Mondol Bei,103.868265125168,13.3693751171259,2013,XXXX
Tumnob,105.168713915011,12.815656573305,2016,XXXX
Thnal,106.326142283467,12.2905070818665,2014,XXXX
Chhuk Kieb,104.463220577136,11.1539775445892,2012,XXXX
Boeng,104.420299710781,10.795265101462,2012,XXXX
Traeuy Trak,104.680600415004,11.2738642340778,2012,XXXX
Doun Tao,105.106931107614,12.1948933132659,2012,XXXX
Klaeng Poar,105.237062894505,12.015954789318,2012,XXXX
Kampong Popil,105.141252446793,11.653259015854,2012,XXXX
Kok Ta Rie,104.788431542415,11.2110790862597,2012,XXXX
Preaek Pok,104.454322062962,10.6757682430587,2012,XXXX
Ba Baong,105.328460183173,11.3855165373081,2012,XXXX
Kbal Damrei,105.439587930347,11.2909567425241,2012,XXXX
Trapeang Khnar,104.670657526029,10.9820283413298,2012,XXXX
Ta Teaen,104.483149437217,10.8968383406649,2012,XXXX
Veal,105.05973815005,11.833733354663,2012,XXXX
Prey Khley,104.458291840759,11.0155476656755,2012,XXXX
Reaksmei Rumdaoh,105.138266962973,12.2432244352537,2012,XXXX
Svay Pear,104.923801778356,11.0777375871838,2012,XXXX
Ta Kay,105.166647723467,11.8970218840455,2012,XXXX
Veal Ampil,105.131882967047,12.3478570753281,2012,XXXX
