# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 12 17:45:24 CET 2021 [seed=1636735521041]
# -save_every 100000 -save_state Compiled_Genomes_aligned_gamma.states Compiled_Genomes_aligned_gamma.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.cutOff	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	gps.precision.col11	gps.precision.col12	gps.precision.col21	gps.precision.col22	correlation	gps.varCovar.gps.precision.col11	gps.varCovar.gps.precision.col12	gps.varCovar.gps.precision.col21	gps.varCovar.gps.precision.col22	gps.diffusionRate	gps.halfDF	treeLengthPrecision1	treeLengthPrecision2	treeLengthPrecision3	treeLikelihood	branchRates	gps.traitLikelihood	skygrid
0	-466613.1470008897	-12127.408297841039	-454485.7387030487	110.4894274740497	1907.4776958136215	1216.2362106075536	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	45.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	0.3333333333333333	1.0220303289362134	0.3060775059300272	0.08566233085483704	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	13.144641174248926	0.5	60.811810530377684	60.811810530377684	2.4324724212151074	-452961.09347354225	-2424.571610696305	-1524.6452295064428	-7903.606416170136
150000	-54873.50244072485	-3699.220505709189	-51174.28193501566	94.81539326548915	1923.1517300221822	1402.1792148405593	3.7665487004614344	4.5032369375149734	5.690098650867326	5.382234360806478	5.827593925377925	5.405023000695167	5.58717648845415	5.0701931984063435	5.299376046849067	5.24229406692411	4.613428749995667	4.228593329226519	4.828179653160717	4.51980179793834	4.6828840414458455	4.514808685928023	4.570502925404281	4.530257068264381	4.747876419154988	4.498970080274169	4.943306519451901	4.802803899720239	5.163218628207146	4.622594876533766	4.082193967911996	4.011865394023697	4.581613631864101	4.406156474008484	4.183063635941174	3.444488363695469	3.529258320094162	2.4745925117338823	2.024766597222195	2.1894551508331563	2.9053776822622153	3.975512564763732	4.196490986097089	3.6443127798640433	3.729869687999818	4.089191686659309	4.105874394701092	4.101399773484342	4.232586438346804	4.5077170523977905	4.268933435621452	4.082630913006472	45.0	0.9191384554053862	1.5317307457921159	0.3543289411842055	0.5670724928936915	1.746719472570086	0.8810098921545141	0.1031928302676813	0.00137482820672055	0.0056116453186076205	3.6900724725045115E-4	2.7840391084466	0.08341208190156456	0.03709410158831106	-0.01102987070946462	-0.01102987070946462	0.04033710198573942	0.285144925138925	29.344386401707204	8.023997067856513	8.023997067856511	26.985172375953155	8.02110167307649	14.797203106551803	52.01257824031394	56.55984599130767	-15.465855451189983	-51043.247494909396	-2424.571610696305	-131.03444010626242	-1257.5856249185151
300000	-46522.10295357909	-3690.0529369027154	-42832.050016676374	90.92381948031738	1927.0433038073538	1294.2155784152694	47.73229561254669	5.048303385957267	5.189011547286444	5.07199910721112	5.238703023088841	5.493868406406414	5.4233659639914675	5.541358568486497	5.353737611315537	5.2128210306777225	4.963349297758754	4.686774739636422	4.5886015502530215	4.498646223550403	4.456733628549389	4.330947512268991	4.512091722279225	4.5239084454674785	4.402006484026629	3.993757443122804	4.057550592027206	3.9453701350173747	3.7725703653771836	3.822736427170579	3.829600436692157	3.61608786485364	3.5552625051208904	3.348367059892868	3.2902057264579363	3.5736028392965977	3.5547297086380083	3.542007904042229	3.678403597876605	3.825912673003117	3.835128705837665	3.9529883291017516	3.8308235360189338	3.815535597749679	3.879824528023867	3.880416280479799	3.8216129107305883	3.885284428964029	3.9004045987537395	3.916865807061368	3.9582619227342106	3.859506791533403	45.0	0.6876932149010154	2.189993416775052	0.1858230654770023	0.10253799695727181	2.3977176983064887	0.43623460758316995	0.14046471898410612	3.320346738097173E-4	3.2185941623989094E-4	2.3144739755264366E-4	0.8672127343415698	-0.05176248459418729	0.061127795615831156	-0.014167377319193809	-0.014167377319193809	0.112749154765169	0.17065281080544073	16.84987859498222	2.117253901680391	2.1172539016803915	9.13528741790473	6.5691533064147904	11.628825291258476	79.1125453601933	145.92171255023592	-18.335640431787784	-42840.75791497561	-2424.571610696305	8.707898299239226	-1205.9000011639587
450000	-43607.03724768248	-3845.1455980970045	-39761.89164958547	43.53857060005319	1974.428552687618	1049.8092081541565	2.094298179941502	4.136390546560972	4.483829650119162	5.299909706529502	5.858804887867599	5.24651305348012	5.413168866150254	4.744199447099411	4.99286574178159	5.007116373063408	4.812626041069308	4.435076828986388	3.5741449344347984	3.8992593342989856	3.9402877066584616	3.412724587541007	3.8658265425932505	4.020671586001256	5.012110164318989	4.387837067474452	3.815783972701867	4.376980768128599	5.0484998668273935	3.8084633037015445	2.938696115615754	3.9940958443088626	3.7099553625963324	4.399508413971758	4.356714233801862	4.197280160955833	4.400265822305923	4.567548962130083	4.082010300050289	2.7123618093439346	3.702781928015677	2.8213548775673583	3.9061813930940255	3.0444926004400266	2.7576084627732884	2.3424536735723	2.254790092359674	2.362752598985051	3.546453794082529	2.559712368839341	2.7882731980263222	3.2028323991638983	45.0	0.3651169673954237	2.3756919445844993	0.18763224438651374	0.0969988011339297	2.6928079893874615	0.28175205311217333	0.2893803052922796	2.395555266693372E-4	7.621633458649161E-5	2.3851936801786032E-4	0.31250750056302945	0.04452901118075936	0.07402468881892452	-0.024030613857715228	-0.024030613857715228	0.13370350025016764	0.24154896518479832	14.346039065098944	2.578422588160017	2.578422588160017	7.942657264702033	7.833625811717338	5.997537981761424	77.71179995285299	140.36316572506755	-25.227559705426323	-39777.77818709205	-2424.571610696305	15.886537506576794	-1217.5748250126978
600000	-43690.41566963884	-3907.1076435348386	-39783.308026104	42.63461161919367	1975.3325116684775	1063.4794937786764	10.608524631271264	4.5011873920086325	4.721549278326782	5.247731053874143	5.507231671201236	5.63740103034907	5.432203686306495	4.860355246911948	5.030692844873089	4.5754222689589845	4.476034338585707	4.20064379865812	4.45898036386875	4.418868969645964	4.414987012724029	4.7069311546365	4.851231546815546	4.425609295168766	4.637193383607465	5.045959233593268	5.130154296294809	4.980899964367891	4.792039516517245	4.559383811885463	4.360835679186449	4.540204913112744	3.852307445461591	3.871489300904648	4.372235061885542	4.398982252192317	4.371684784931706	4.649626033168753	4.590712950922038	4.467092732193576	4.0662866089714385	3.669695425178516	3.8251159668324077	3.4963301984448885	3.5615895409368235	3.2515376907952156	2.8718071660197655	2.863550304932417	2.5498056936517237	2.2904856875940265	2.9449462996159728	4.154718735048066	45.0	0.3761458344333675	2.3620575098402226	0.13172793619159778	0.07896303634947537	2.7831852960984955	0.2679203870868471	0.3109045563325061	2.338364459886382E-4	5.657926862263576E-5	2.322908313582354E-4	0.25185791594927737	-0.009492928349425682	0.09251834922037594	-0.021188878548634934	-0.021188878548634934	0.1304883898079524	0.1928448733993725	11.226157912753969	1.8229184752086218	1.822918475208622	7.959524979225094	7.477576487848398	3.5341988369064965	98.39136719412421	138.77172673695583	-22.533937832640135	-39813.639470181566	-2424.571610696305	30.331444077565244	-1198.638429788372
750000	-43678.41014156757	-3921.6801790459986	-39756.72996252157	47.565903675064284	1970.401219612607	1102.2396621437892	8.476800753738788	4.660355086982761	4.653573791316062	5.328188763394872	5.24526932128847	5.25842746543728	5.366228966033049	5.162091426552046	4.897744147166575	5.204363808429555	5.007089244972494	4.667450385037684	4.597277309387487	4.439471361017811	4.174112188703928	3.980143181559104	3.6565529006091078	3.384455540806785	3.7538086220175684	3.9190717847825303	4.698416713896206	4.51720216709386	4.443682154776373	4.254766825015674	4.136164673123652	4.214642643228012	4.083342820496566	5.057632936933766	5.061245125992622	4.886563773193303	5.070422812923728	5.175048810959487	5.044741366443284	5.159906024271275	4.768546802516629	4.086989573162846	3.48004829184503	2.9388812282789827	3.528756094894104	3.1296470136713928	2.1441821681065276	2.3020336116153652	1.9780176666767857	2.0243946318038333	2.1185518752714643	1.5927951909671667	45.0	0.37529505458222084	2.4323973198187963	0.11550920197813536	0.08075049341383102	2.711291940794171	0.2847559894128452	0.36832374573583304	2.177621289427366E-4	3.0345969273690185E-5	2.1831642519435504E-4	0.13856534063833048	0.08832404222804964	0.06682542281252633	-0.0114982271637291	-0.0114982271637291	0.17739584815089415	0.10560592898108799	15.133138755412718	0.9808812828694773	0.9808812828694774	5.700688073324482	7.555366491611605	3.582139597786487	73.6576314634949	195.5327397315525	-12.673802024201303	-39783.48233747486	-2424.571610696305	26.75237495329508	-1209.7726450044966
900000	-43699.041775605125	-3953.8144366280617	-39745.22733897706	57.84063802522818	1960.126485262443	1151.3118412898766	2.955273042393316	5.110411749571521	4.872051148875138	6.051893595227566	5.947197434579477	5.951948596366158	5.32228862393591	4.9021344810784235	4.665910901713364	5.3832613058271095	5.041484746796519	5.011960406721208	4.0721918628901825	4.425274192435468	4.272020786424612	4.963108080362237	4.3221883400739465	4.672456059332145	5.413084156058449	4.1691015050869495	4.190355084662273	4.008135903735671	3.805172453478957	4.009569963272187	3.546582447831287	3.904931454911761	4.60092382138131	4.191655963558314	4.602968613967879	4.492527444305329	4.697732849806694	5.048263960476636	5.4039006852834355	4.0765235583993045	3.8612051004633043	2.9786210773813084	2.5597412368428474	2.615348571311855	2.845306191695784	2.742086662423718	3.3466798754956444	3.517689468545023	4.415729067802795	3.2673891109369393	2.4107770422794177	2.1690839239172366	45.0	0.2991688302005237	2.4756341363862826	0.1884580076843927	0.08397834185544585	2.7393485495402876	0.21341213433306616	0.3331817017678001	2.0580003628372685E-4	3.942824377675603E-5	2.0868963187421711E-4	0.19466343399144234	0.01998041577346044	0.09355251457991309	-0.01625373008892909	-0.01625373008892909	0.1589947770758385	0.13327045541966323	10.882467206516539	1.112493680166438	1.112493680166438	6.403242865754341	7.159453556640076	3.370836247284725	107.70811781829777	183.0525695506571	-18.713111916513622	-39781.513071176465	-2424.571610696305	36.285732199399014	-1239.4487092127558
1050000	-43739.91716434123	-3986.9118203228963	-39753.00534401833	66.79842244033182	1951.1687008473396	1207.0376933742828	13.451900895623925	5.051606220350292	5.012770103506065	5.461915096798574	5.77616454436411	5.4562663412045636	5.651958887326744	5.098852273846269	4.791211694129605	4.753068424125962	4.803745215788493	4.1874582482279115	4.085967290669055	4.0501865678977165	4.110286506159119	4.441346259957543	4.19498491231398	3.900128843191417	4.409804505112182	4.163149856948219	4.065544524096824	4.038737905744305	4.037743024498719	3.9038464643403192	4.313947399414827	4.037029969991989	4.324247412031653	3.7419345118750718	3.9799735810719596	3.769364668675192	4.1890087052177	4.121051778780257	3.775321793484486	3.6618462466407795	3.931938948428164	4.033522733207258	4.113302563709149	3.8388583140056713	3.8610964377294006	3.356007583865785	3.1608692031782026	2.9243556703307956	2.6899383459068	2.5538049501547926	2.0965848305972337	2.0801819378258215	45.0	0.3463400150429172	2.5030851092427553	0.13984673188687294	0.08085940501315252	2.656373187025121	0.27349555178917984	0.31204506615957184	2.0247710970460841E-4	1.6363785536000894E-5	2.02198640050676E-4	0.07743006692643294	0.01781985097036327	0.09062015463479137	-0.01107411085441489	-0.01107411085441489	0.1925520251797925	0.08383443114016219	11.113178533914938	0.6391445164732211	0.6391445164732211	5.230160297130462	6.87452068161547	2.435208141211271	109.38194242359938	232.41755232756356	-13.366869221884055	-39797.535074063344	-2424.571610696305	44.52973004501425	-1222.971299944706
1200000	-43737.50264454766	-3987.5826231285105	-39749.92002141915	62.585706953790115	1955.3814163338811	1151.7140171318824	17.870079352704042	5.072670393252257	5.379614988030416	5.441586374864418	5.335291526457749	5.546358506389269	5.267593058093875	5.2456447110982225	5.069356869817509	5.241156703630418	5.458011321879861	4.811150739081625	4.993845525423298	4.897534712250278	4.588343318745361	4.427933445162342	4.453683402473061	4.069608912113485	4.1273157349560865	4.474466501783575	4.542412150409745	4.139968838238371	4.206348951967425	4.053083997559043	4.014898648563933	4.019185105673359	3.8839356682387973	3.6696334540698405	3.7210437718951166	3.526075339807056	3.2208437554953733	3.33731055345486	3.630864335535077	3.265943285194841	3.513478350638591	3.6139697080857798	3.051713941852676	3.0030458909946756	3.1673602893920902	2.954018277277567	2.9027095278063006	3.066889928945074	3.2785319032745575	3.3650298570848616	3.161561957137876	2.966505218019672	45.0	0.3640469623680632	2.4186078445824184	0.16224920626057107	0.10480571888596936	2.7169877402256204	0.23330252767735318	0.3074894731287479	2.2016735702194E-4	2.4767628032058144E-5	2.2014169272246815E-4	0.1135412441689897	-0.00238683979624067	0.09265312770581714	-0.03148191012645479	-0.03148191012645479	0.2251739118653281	0.2179575895016395	11.331240149115299	1.584238071988892	1.5842380719888918	4.66250655728347	7.268640020878427	2.116077752215422	106.70990590989997	259.33595058771743	-36.25815717872414	-39795.67211593781	-2424.571610696305	45.75209451865771	-1203.6539606100525
1350000	-43751.71384892794	-4028.1445382660413	-39723.5693106619	62.662152206760716	1955.3049710809105	1191.5673862447607	9.2316483818767	4.934864858726164	5.323636184835484	5.257702904960501	5.740154885182133	5.260422744912418	5.224281004975297	4.979809857307312	5.079811751040356	4.997610552661747	4.891963721058492	4.749558325178769	4.753229514251853	4.3728113633809516	4.289442183904822	4.364709702056027	4.517463262434138	4.320082287167904	4.052090625166484	4.6546920435985	4.72825206732848	4.753626153973173	4.485247122204231	3.77736284282296	4.00570771828812	4.191268801657174	4.7302163687572625	5.1738667267293295	4.81680967700447	4.023773345786567	3.93967170685792	4.094495022074862	3.838247044365729	4.134325499403198	3.9672831798136055	3.9575076935646183	3.6673998524970646	3.848506088704597	3.2364851394658705	3.220323223390297	3.7017808262972864	3.5976572286664577	3.8254735877799075	4.339283612946619	4.270605830732816	3.7203373741785404	45.0	0.3446499472248789	2.3934879895995054	0.14278020940271127	0.05956667131270874	2.7880231170742418	0.2714920653859534	0.3380684148475734	2.112988936542556E-4	3.413999231296138E-5	2.091621664087444E-4	0.1556003989170422	0.02934174218924492	0.12869475525404517	-0.006811150471585146	-0.006811150471585146	0.21623744409502033	0.04082955070939238	7.783299590861144	0.24516209438494369	0.2451620943849437	4.632268199926675	6.743219759403562	1.651490088785468	153.34847314147177	257.6614860685509	-8.115944764746482	-39785.70361356871	-2424.571610696305	62.134302906811	-1219.737173183206
