,lower,higher
Land_cover_forests_RABV_CA_04,449,0
Land_cover_savannas_RABV_CA_04,224,0
Land_cover_grasslands_RABV_CA_04,3.8,0.3
Land_cover_croplands_RABV_CA_04,0,99
Land_cover_water_RABV_CA_04,0.3,3.7
Human_pop_density_RABV_CA_04,0,23.3
Elevation_RABV_CA_04,6.6,0.2
Annual_mean_temperature_RABV_CA_04,0,899
Annual_precipitation_RABV_CA_04,6,0.2
