# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Dec 21 11:35:17 CET 2021 [seed=1640082914861]
# -save_every 50000 -save_state Compiled_G_aligned_cut.states Compiled_G_aligned_cut.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	pInv	default.ucld.mean	default.ucld.stdev	location.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	location.meanRate	location.rates.Cambodia.Other	location.rates.Other.Cambodia	default.treeLikelihood	default.branchRates	location.branchRates	c_location.count[1]	coalescent
0	-204529.56425328244	-11076.391781967395	-193453.17247131505	38.3347451960185	1980.6652548039815	126.65206576906763	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	1.0	0.3333333333333333	1.0	1.022702897732189	0.334487330202582	-0.015846335654491395	1.0	1.0	1.0	-192950.4584886896	-10125.43149606567	0.0	174.0	-693.181562561668
100000	-64706.97327701574	-13322.019452823992	-51384.95382419175	39.92867926056001	1979.07132073944	771.0539708411623	32.929257493373484	1.0323072014256922	1.336191422074688	0.7006519498357777	0.5311274650738044	1.5035045778382183	0.8962173837518189	0.6841243981610274	0.5268214164454514	0.03215861371926286	0.08618551980752343	0.01936388857529539	0.015845224117837727	2.244559617583519	-0.0178240066403025	0.019363888575295377	1.4661377757394403	0.5156188736058475	-51262.85223417929	-10125.43149606567	0.0	32.0	-3154.780836257595
200000	-53381.99036309277	-13406.048648393184	-39975.94171469959	43.91264632848396	1975.087353671516	878.4625287475251	35.99986847642626	1.0158159881256188	1.7294478170931886	0.536563530498613	0.1312783429468003	1.866828371882327	0.7200659494534521	0.7601254351777275	0.5072672643347733	0.02036923401208769	0.0801109438638816	0.00815922326269135	0.007802997178264927	2.7452998631266468	-0.0039010865735228783	0.008159223262691364	1.4791618980866705	0.8647265510992732	-39881.05740553671	-10125.43149606567	0.0	21.0	-3253.681289914507
300000	-47697.31898885325	-13465.94154642177	-34231.377442431476	46.86025276434175	1972.1397472356582	970.3244357868724	41.67786006298576	0.7119860122232919	2.142684952462586	0.23437121017837909	0.100706672588973	2.279763130345829	0.5304880222009403	0.8182828775910019	0.49389987376256544	0.013324132348324887	0.051314829289267595	0.007096352194234102	0.006052560526242052	2.2220765186919107	0.03457390987520315	0.007096352194234106	1.4408402917392997	1.3277809060309664	-34157.30906366141	-10125.43149606567	0.0	17.0	-3318.601225129353
400000	-44830.9937120673	-13478.317313891097	-31352.6763981762	46.21485337433439	1972.7851466256657	1019.2615385139696	43.51005010769998	0.4000042592705202	2.4278430965253985	0.1606175899773367	0.06895817980117204	2.6005784117597535	0.3419984626658181	0.7694080439808021	0.46825718424939156	0.01103229193504711	0.04820110757744536	0.004989791321963914	0.005029746886102641	2.2449304147246063	0.02308224050935817	0.004989791321963917	1.087826810493649	0.5749110134856277	-31288.91322902906	-10125.43149606567	0.0	15.0	-3335.950418517593
500000	-42652.50441631737	-13558.240916001425	-29094.263500315952	59.029348244456806	1959.9706517555433	1167.221293593444	49.724791666595685	0.38459834996877124	2.3426034286653827	0.11740727159918025	0.08081344325597964	2.7956182283768545	0.2789592781338299	0.7033773288351346	0.43846614337723633	0.009662090376861672	0.04510447598193346	0.0070490926073323605	0.004009380873854977	2.447433309101668	0.009519206912480864	0.007049092607332361	0.9194448848189573	0.2404941355289758	-29037.540768597682	-10125.43149606567	0.0	12.0	-3413.238807144585
600000	-41089.26866796115	-13641.927233872559	-27447.34143408859	75.88993404989316	1943.110065950107	1317.2758143513784	55.054103441358514	0.3526368702288747	2.302733961993666	0.12413164779692036	0.0680535965182469	2.825913693428832	0.3265302300334599	0.6762271997701997	0.42374720148193595	0.008026504063209679	0.04096257644908425	0.004896679512383608	0.003369124762841074	2.6084214846647327	0.009663093159058094	0.004896679512383608	1.3980996001663415	1.1824032669761384	-27396.186387668135	-10125.43149606567	0.0	10.0	-3498.347566938335
700000	-39688.809536687746	-13683.550873683787	-26005.25866300396	75.19727979687447	1943.8027202031255	1368.1500239768773	60.10584193143604	0.3281234541313456	2.442326741576654	0.13605866791436733	0.04852967264816016	2.7164664789202932	0.32849498480918177	0.7388937371375582	0.44227962009258565	0.005247101411775864	0.02152518431178476	0.003981479071176188	0.0026075552225840347	2.143958908394298	-0.029063451980505486	0.003981479071176193	1.968335580020484	1.7228474906253004	-25959.402388105875	-10125.43149606567	0.0	9.0	-3543.456911825481
800000	-37923.765599737584	-13719.787991506197	-24203.977608231384	85.93844733661788	1933.0615526633821	1477.758186858397	62.97797393819845	0.3822513335378346	2.36476954286641	0.1533648831830592	0.07551578221620156	2.712989044245805	0.3111094139506994	0.5999213589005076	0.3920404012270242	0.0038133563723168435	0.011124464711563727	0.0018395329044426077	0.002215380315725979	1.8138698845121515	-0.02137987013265089	0.0018395329044426116	0.05530848072573385	0.2372297623043069	-24167.385293652445	-10125.43149606567	0.0	6.0	-3588.250343190827
900000	-35999.92742894606	-13768.248238906075	-22231.67919003998	73.47362276428603	1945.5263772357139	1524.462161930576	68.01593506568406	0.3329216249500802	2.409364996752006	0.14745018387095804	0.08707899777237577	2.7226789684481294	0.30050522820645953	0.6542946599526213	0.3643128189169836	0.0032063171058733754	0.00954311742704432	7.497178321823104E-4	0.0016343505202875371	1.7330795915241268	0.001076133309678069	7.497178321823107E-4	0.7441160441740953	1.3109131838610584	-22205.71464731766	-10125.43149606567	0.0	4.0	-3637.656511788735
