node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km
204,205,16.848295028961,11.5967264870096,104.590591766627,10.9123440147981,104.788555335325,16.848295028961,0,1946.10642446239,1962.95471949135,79.19468556301
205,206,14.4972122479262,10.9123440147981,104.788555335325,10.80479094972,104.896429157343,31.3455072768872,16.848295028961,1962.95471949135,1977.45193173927,16.8063810238674
206,207,22.449075707251,10.80479094972,104.896429157343,10.426698030204,105.069322232844,53.7945829841383,31.3455072768872,1977.45193173927,1999.90100744652,46.1466242226348
207,208,6.75638039675998,10.426698030204,105.069322232844,10.3393057195536,104.587375892171,60.5509633808983,53.7945829841383,1999.90100744652,2006.65738784328,53.6628356489473
208,209,2.94171569982085,10.3393057195536,104.587375892171,10.3401335600113,105.002858946254,63.4926790807191,60.5509633808983,2006.65738784328,2009.59910354311,45.5021598556137
209,210,0.0926402840165395,10.3401335600113,105.002858946254,10.3192926403359,105.000962087854,63.5853193647356,63.4926790807191,2009.59910354311,2009.69174382712,2.32937404533406
210,28,6.12469452904108,10.3192926403359,105.000962087854,10.5329155237036,105.068244610873,69.7100138937767,63.5853193647356,2009.69174382712,2015.81643835616,24.896113641276
210,203,2.66344742970725,10.3192926403359,105.000962087854,10.2625103004521,104.992638195507,66.2487667944429,63.5853193647356,2009.69174382712,2012.35519125683,6.38664385834051
209,211,1.08243960045122,10.3401335600113,105.002858946254,10.5188473399213,105.006950154079,64.5751186811703,63.4926790807191,2009.59910354311,2010.68154314356,19.9001515894471
211,212,0.596633625836586,10.5188473399213,105.006950154079,10.498694057096,105.03278930991,65.1717523070069,64.5751186811703,2010.68154314356,2011.27817676939,3.61006549915275
212,213,0.613227841190954,10.498694057096,105.03278930991,10.5083988982244,105.042834700925,65.7849801481979,65.1717523070069,2011.27817676939,2011.89140461058,1.54150558499968
213,29,0.868158230944475,10.5083988982244,105.042834700925,10.4582555725329,105.047845358503,66.6531383791423,65.7849801481979,2011.89140461058,2012.75956284153,5.60903161933434
213,134,2.39900634831874,10.5083988982244,105.042834700925,10.5543737358989,105.031313301144,68.1839864965166,65.7849801481979,2011.89140461058,2014.2904109589,5.27115169017103
212,214,0.562165884345508,10.498694057096,105.03278930991,10.3742462235118,105.215524659302,65.7339181913524,65.1717523070069,2011.27817676939,2011.84034265374,24.3348326870607
214,215,0.0125513312571037,10.3742462235118,105.215524659302,10.3725535467146,105.210400501743,65.7464695226095,65.7339181913524,2011.84034265374,2011.852893985,0.59191256440692
215,43,1.15258546705759,10.3725535467146,105.210400501743,10.3394875372992,105.220608504342,66.8990549896671,65.7464695226095,2011.852893985,2013.00547945205,3.84703626314755
215,216,0.213491240924869,10.3725535467146,105.210400501743,10.3957506763955,105.246688593608,65.9599607635344,65.7464695226095,2011.852893985,2012.06638522592,4.73898549835148
216,56,1.84320381517385,10.3957506763955,105.246688593608,10.3617896612107,105.045947930922,67.8031645787082,65.9599607635344,2012.06638522592,2013.90958904109,22.3043425853881
216,217,0.646574153884342,10.3957506763955,105.246688593608,10.4219204897903,105.282842376048,66.6065349174187,65.9599607635344,2012.06638522592,2012.7129593798,4.91503268948474
217,117,3.92092040161444,10.4219204897903,105.282842376048,10.4881942231411,105.326679795612,70.5274553190332,66.6065349174187,2012.7129593798,2016.63387978142,8.80137966658938
217,218,0.0273227939554728,10.4219204897903,105.282842376048,10.4210416036391,105.283662943377,66.6338577113742,66.6065349174187,2012.7129593798,2012.74028217376,0.132832279752242
218,219,0.183401750140725,10.4210416036391,105.283662943377,10.3734384436177,105.271977692218,66.8172594615149,66.6338577113742,2012.74028217376,2012.9236839239,5.45164109617276
219,220,0.709189504202751,10.3734384436177,105.271977692218,10.358373651879,105.259198643732,67.5264489657177,66.8172594615149,2012.9236839239,2013.6328734281,2.18423242309795
220,104,3.96438684586727,10.358373651879,105.259198643732,10.9352682874322,105.537646137397,71.490835811585,67.5264489657177,2013.6328734281,2017.59726027397,71.0812459306932
220,73,0.901373147237138,10.358373651879,105.259198643732,10.3823414474304,105.325833284192,68.4278221129548,67.5264489657177,2013.6328734281,2014.53424657534,7.76937934285976
219,87,4.16124758294668,10.3734384436177,105.271977692218,10.3522779752145,105.321435863721,70.9785070444616,66.8172594615149,2012.9236839239,2017.08493150685,5.90617618091126
218,145,0.125838044817419,10.4210416036391,105.283662943377,10.3854298208602,105.322379134999,66.7596957561916,66.6338577113742,2012.74028217376,2012.86612021858,5.8040920151427
214,76,1.21445186680804,10.3742462235118,105.215524659302,10.7474101262299,105.268147240112,66.9483700581605,65.7339181913524,2011.84034265374,2013.05479452055,41.9393246441827
211,221,0.219296910479251,10.5188473399213,105.006950154079,10.8337557287449,105.015734846958,64.7944155916496,64.5751186811703,2010.68154314356,2010.90084005404,35.0699907707651
221,9,2.00079929022514,10.8337557287449,105.015734846958,10.9171760322312,105.027981739938,66.7952148818747,64.7944155916496,2010.90084005404,2012.90163934426,9.38269009025795
221,75,2.75669419253815,10.8337557287449,105.015734846958,11.1467076972348,103.453232026727,67.5511097841877,64.7944155916496,2010.90084005404,2013.65753424657,174.271141414487
208,222,1.75167259735791,10.3393057195536,104.587375892171,10.3499048328777,104.552309962243,62.3026359782562,60.5509633808983,2006.65738784328,2008.40906044064,4.01740678649604
222,223,2.25059149996911,10.3499048328777,104.552309962243,10.4002395362868,104.541692433393,64.5532274782253,62.3026359782562,2008.40906044064,2010.65965194061,5.72280289223256
