Land_cover_forests_RABV_CA_04,Land_cover_savannas_RABV_CA_04,Land_cover_grasslands_RABV_CA_04,Land_cover_croplands_RABV_CA_04,Land_cover_water_RABV_CA_04,Human_pop_density_RABV_CA_04,Elevation_RABV_CA_04,Annual_mean_temperature_RABV_CA_04,Annual_precipitation_RABV_CA_04
0,0,0,25,0,228.457794189453,25.1599998474121,27.4184989929199,1600
0,0,0,25,0,291.106018066406,41.0800018310547,27.5733337402344,1696
0,0,0,25,0,120.472953796387,11.8400001525879,27.8605003356934,1633
0,0,0,25,0,116.7080078125,14.8800001144409,27.7250003814697,1736
0,0,0,25,0,192.553802490234,10.6800003051758,27.8823337554932,1445
0,0,0,25,0,223.505401611328,11.6800003051758,27.9346675872803,1430
0,0,0,25,0,147.447799682617,11.2799997329712,27.9301662445068,1471
0,0,0,25,0,200.840759277344,11.4799995422363,27.9388332366943,1388
0,0,0,25,0,300.431823730469,12.3999996185303,27.9405002593994,1488
0,0,0,25,0,287.737182617188,11.6800003051758,27.9346675872803,1430
0,0,0,25,0,123.343048095703,9.92000007629395,27.9258327484131,1389
0,0,0,25,0,111.980812072754,10.1599998474121,27.9290008544922,1406
0,0,0,25,0,106.681976318359,10.1599998474121,27.9290008544922,1406
0,0,0,25,0,151.564147949219,9.07999992370605,27.8834991455078,1402
0,0,0,25,0,155.082061767578,11.8000001907349,27.908332824707,1407
0,0,0,25,0,106.207466125488,9.76000022888184,27.9526672363281,1431
0,0,0,25,0,191.691375732422,9.96000003814697,27.9068336486816,1356
0,0,0,25,0,113.065711975098,9.07999992370605,27.8834991455078,1402
14,0,0,1,0,45.7382659912109,3.44000005722046,27.5174999237061,1266
0,0,0,25,0,101.587997436523,8.80000019073486,27.7903327941895,1387
0,0,0,25,0,112.380783081055,9.92000007629395,27.9258327484131,1389
0,0,0,6,19,65.3219146728516,5.11999988555908,27.4798336029053,1320
0,1,0,21,0,95.3425903320312,5.07999992370605,27.5393333435059,1306
0,0,0,6,19,171.341827392578,5.11999988555908,27.4798336029053,1320
0,0,0,25,0,167.763290405273,9.31999969482422,27.9426670074463,1363
0,0,3,4,18,91.3226013183594,5.03999996185303,27.5853328704834,1350
0,0,0,25,0,82.6633682250977,9.31999969482422,27.9231662750244,1371
0,0,0,25,0,107.359489440918,9.92000007629395,27.9258327484131,1389
0,0,0,25,0,180.501617431641,14.0799999237061,27.9029998779297,1584
0,0,0,25,0,180.45100402832,11.6800003051758,27.9113330841064,1472
0,0,0,25,0,126.282653808594,1.36000001430511,27.6871662139893,1423
0,0,0,16,6,5.70982980728149,5.76000022888184,27.4898338317871,1301
0,0,0,25,0,66.7953491210938,10.6000003814697,27.9198341369629,1528
0,0,0,25,0,104.968719482422,10.039999961853,27.8648338317871,1507
0,0,0,25,0,96.8952484130859,13.2399997711182,27.8593330383301,1677
8,0,0,17,0,76.0197601318359,14.4799995422363,27.1900005340576,1744
0,0,0,25,0,79.4411697387695,16.1599998474121,27.5650005340576,1887
1,0,0,24,0,97.957878112793,19.2000007629395,27.2736663818359,2033
