Land_cover_forests_RABV_CA_04,Land_cover_savannas_RABV_CA_04,Land_cover_grasslands_RABV_CA_04,Land_cover_croplands_RABV_CA_04,Land_cover_water_RABV_CA_04,Human_pop_density_RABV_CA_04,Elevation_RABV_CA_04,Annual_mean_temperature_RABV_CA_04,Annual_precipitation_RABV_CA_04
1,24,0,0,0,46.1390686035156,184.119995117188,26.3474998474121,2367
25,0,0,0,0,1.18299508094788,710.640014648438,23.816333770752,2163
1,3,0,21,0,43.7034568786621,69.5199966430664,27.1896667480469,3379
2,0,0,23,0,437.08642578125,11.1599998474121,27.3633327484131,3294
4,0,0,10,0,721.241943359375,4.88000011444092,27.4144096374512,3342
25,0,0,0,0,4.5942177772522,416.720001220703,25.3605003356934,2890
21,1,0,3,0,9.70207691192627,361.760009765625,25.7798328399658,2977
25,0,0,0,0,15.3980588912964,451.040008544922,25.3206672668457,2731
25,0,0,0,0,0.266201734542847,799.559997558594,23.4050006866455,2363
25,0,0,0,0,0.403920710086823,680.960021972656,23.9388332366943,2479
0,0,0,25,0,76.8353576660156,20,27.3146667480469,3182
0,0,0,25,0,100.217079162598,26.7199993133545,27.3246669769287,3267
2,0,0,23,0,172.570678710938,11.1599998474121,27.3633327484131,3294
0,0,0,25,0,47.238338470459,27.8400001525879,27.3116664886475,3209
25,0,0,0,0,1.4829558134079,617.960021972656,24.3579998016357,2975
0,0,0,25,0,32.6595649719238,37.0800018310547,27.1601657867432,2883
4,0,0,11,0,202.706497192383,6.67999982833862,27.3773326873779,3260
0,0,0,25,0,45.5172157287598,12.8000001907349,27.3269996643066,3071
3,0,0,21,0,34.8669090270996,32.9599990844727,27.296667098999,3364
0,0,0,25,0,34.6944541931152,37.6800003051758,27.1758327484131,2865
0,0,0,25,0,271.481140136719,5.23999977111816,27.40016746521,3319
25,0,0,0,0,1.61324310302734,354.279998779297,25.7116661071777,3198
25,0,0,0,0,0.194857120513916,848.359985351562,23.0604991912842,2513
25,0,0,0,0,0.132009655237198,789,23.4866676330566,2674
9,2,0,14,0,28.6232299804688,317.399993896484,25.7084999084473,2631
25,0,0,0,0,0.174908891320229,658.320007324219,24.0650005340576,2760
25,0,0,0,0,0.392526149749756,853.559997558594,23.1959991455078,2392
25,0,0,0,0,1.38913834095001,942.599975585938,22.67799949646,2069
25,0,0,0,0,7.79156875610352,546.039978027344,24.55299949646,2453
25,0,0,0,0,0.594669818878174,591.799987792969,24.4871673583984,2583
0,0,0,25,0,56.2697448730469,18.3199996948242,27.2924995422363,3159
