1,Tang Srei,494169,1328037
2,Sambour,484206,1312505
3,Ak Tieng,492379,1309174
4,Cheyyou,537521,1360383
5,Knaor Dambang,501934,1328280
6,Pnov Kaeut,510762,1331629
7,Sangkae,510308,1340531
8,Cheach Thum,593250,1317971
9,Preaek Chik,547921,1322580
10,Kang Ta Noeng Ti Pram,507165,1310101
11,Varint Ti Muoy,514711,1315881
12,Preaek Koy,500451,1311676
13,Peam Knong,529314,1325558
14,Phum Ti Pram,560560,1345903
15,Ta Meas,523467,1339577
16,Trapeang Poun,522259,1337639
17,Phteah Khpos,524221,1329497
18,Dei Leu,572754,1359761
19,Trapeang Pnov,474252,1319492
20,Prey Ba Krong,445875,1235045
21,Sampov,442161,1268113
22,Krang Sbov,465295,1243939
23,Trapeang Dar,460018,1244326
24,Krang Ponley,464380,1245271
25,Banteay Khmaer,453546,1283782
26,Trapeang Khtum,463416,1299984
27,Krang Thum,455800,1265642
28,Chi Aok,510160,1367864
29,Krouch,515654,1351967
30,Pra Phnum,461540,1199315
31,Pral,463352,1191967
32,Poun,460340,1182867
33,Lieb,460553,1181038
34,Keatha Vong Kraom,456053,1184932
35,Tuk Meas,452102,1178734
36,Pou Doh,433680,1193377
37,Ta Teaen,443517,1204621
38,Khley,439993,1204724
39,Prey Khmau,442723,1210619
40,Trapeang Veaeng,437065,1207081
41,Thum Thmei,438331,1184085
42,Changkieng Khang Kaeut,446618,1182334
43,Svay Ming,480325,1262823
44,Krang Trea,484720,1262542
45,Popeal Khae,510934,1270305
46,Sdau Kanlaeng,512864,1269945
47,Leu,495365,1281729
48,Preaek Pok,506562,1226187
49,Peam,500031,1310002
50,Kiri Thmei,465322,1279491
51,Daeum Mien,494430,1269862
52,Preaek Hour Kaeut,493800,1266089
53,Trapeang,363634,1228480
54,Phum Preaek Ta Nu,493103,1273813
55,Ruessei Chuor,549326,1249656
56,Snae Rean,549320,1254122
57,Chheu Kach,544322,1244272
58,Svay Prakal,548028,1240756
59,Roung,560881,1214272
60,Srah Ta Oem,571332,1247471
61,Chambak Chrum,568398,1252619
62,Prey Roka,568806,1256707
63,Pou Poat,557203,1257597
64,Kruos,556365,1252529
65,Sanlung,556016,1254018
66,Prey Chamka Khang Tboung,561004,1260415
67,Preaek Ta Sa,531251,1242066
68,Prohut,526261,1295543
69,Chrey,519320,1288450
70,Snay Poal,524130,1289102
71,Bang Kokir,364422,1170080
72,Ampil,588755,1267395
73,Daeum Doung,486465,1248867
74,Prey Lieb,476499,1170438
75,Roneam Pech,491891,1232149
76,Chamnaom,486249,1228009
77,Thkov,480988,1228893
78,Tuol Char,477019,1231481
79,Ta Poun Khang Lech,474228,1230717
80,Chheu Kach,544322,1244272
81,Snay pol,524130,1289102
82,Thmei,547038,1266656
83,Chek,556459,1265635
84,Ruessei Thlok,541372,1222389
85,Boeng Veaeng,548313,1272905
