1,Prasaeur,534926,1346020
2,Phum Ti Prammuoy,549955,1325578
3,Boeng Trav,517738,1322334
4,Pou,509388,1303640
5,Chantum,569387,1310004
6,Meanok Kaeut,459350,1312538
7,Khlouk,446931,1238091
8,Trapenang Antong,461356,1289903
9,Oknha Tep,463288,1268302
10,Tranh Veaeng,437344,1298969
11,Samraong,509757,1371595
12,Toap Sdach,458102,1183601
13,Trapeang Lbaeuk,429673,1192025
14,Doun Ov,438886,1207717
15,Ta Kaev Ti Pir,507656,1289368
16,Phsar Daek Kraom,475017,1305236
17,Phum Prey Tear,482618,1272983
18,Tean Phleung,568649,1277289
19,Chong Ampil,546261,1289412
20,Prey Chek,570841,1250255
21,Prey Sniet,527630,1284836
22,Angk Svay,600144,1218455
23,Kampong Luong,497548,1215260
24,Buor,473382,1174269
25,Prey Chambak,484292,1237951
26,Phnom Penh,491005,1277809
27,Phnom Penh 3,488887,1283953
28,Boeng Trav,517738,1322334
29,Prey Khmaer,466002,1254971
30,Prey Chek,570841,1250255
31,Pra Boeng,505566,1336662
32,Prey Andoung,559446,1237647
33,Thloak,554613,1248997
