1,Kampong Sambuor,307014,1451879
2,Stueng Chveng,500663,1317497
3,Tang Thlaeung,493496,1329590
4,Ta Poy,490786,1314119
5,Chong,490929,1313725
6,Cheung Chhnok,493468,1312903
7,Trapeang Lpov,542144,1360550
8,Sdaeung Chey,507091,1337249
9,Pra Boeng,505566,1336662
10,Skon,508557,1332502
11,Thmei,508547,1332008 
12,Chamkar Samseb,540544,1319540
13,Angkor Ban Ti Prambuon,522412,1321442
14,Kang Ta Noeng Ti Muoy,509137,1310092
15,Preaek Koy,500451,1311676
16,Preaek Krabau,528107,1325815
17,Boeng Totea,513819,1321398
18,Reay Pay Leu,510069,1319515
19,Boeng Trav,517738,1322334
20,Anlong Ak Kaeut,520926,1322158
21,Khsach Prachheh Leu,566822,1359031
22,Khsach Prachheh Kandal,565500,1358868
23,Tuol Khvav,518980,1343022
24,Chonloat Dai,517537,1348009
25,Ampil Thum,522353,1332622
26,Thmei,515472,1329245
27,Senson Tboung,516197,1331238
28,Turi Leu,510949,1308045
29,Tnaot Ka,526499,1316505
30,Ruessei Srok,522594,1318535
31,Prey Khmaer,463565,1344778
32,Trapeang Trach,461478,1341805
33,Meanok Kaeut,459350,1312538
34,Sakkarak,456336,1228206
35,Khnar,451395,1236983
36,Krang Sbov,465295,1243939
37,Trapeang Teab,461952,1243894
38,Trapeang Chak,461324,1242199
39,Sdok,455362,1293910
40,Chan Kiri,417475,1237868
41,Thmei,439159,1266059
42,Tuek S'oy,432587,1267831
43,Trapeang Traeunh,433914,1294447
44,Tang Kouk,514126,1352869
45,Pnov,510524,1366667
46,Triel,513475,1362964
47,Chak Chrum,450439,1195198
48,Ta Kao,454346,1194047
49,Angk Khcheay Khang Cheung,455039,1196986
50,Trapeang Khva,465902,1190428
51,Keatha Vong Kraom,456053,1184932
52,Trapeang Ta Sek,445545,1190484
53,Chheu Teal,439671,1199151
54,Krang Sbov,446307,1193530
55,Sat Pong,440924,1197111
56,Kaoh Ruessei,432470,1192793
57,Chheu Teal Chrum,448732,1197932
58,Thmei,438787,1204743
59,Damnak Chheu Kram,439180,1212451
60,Doung,442129,1209269
61,Thum Thmei,438331,1184085
62,Ou Kandal,443042,1184844
63,Trapeang Reang,433306,1191798
64,Chhmar Puon,488614,1263236
65,Pong Chan,485817,1257034
66,Svay,467946,1263320
67,Trapeang Kak,481582,1255751
68,Kampong Damrei,502246,1298990
69,Peam Ta Aek,503157,1276343
70,Kaoh Roka,500570,1299402
71,Sameakki,497704,1303906
72,Thmei,493610,1303580
73,Chrey Loas,476930,1295196
74,Ta Pov,478517,1313642
75,Preaek Kdei,481739,1297973
76,Preaek Kaev,503543,1245876
77,Ta Kdol,493169,1266927
78,Thnal,644218,1359033
79,Kbal Damrei,547975,1248187
80,Ta Mau,551644,1252366
81,Roung Damrei,542172,1244454
82,Svay Khnei,542181,1248688
83,Prey Chamkar,554597,1243291
84,Thloak,554613,1248997
85,Prey Tbaeng,555760,1282846
86,Kansaom Ak,556203,1236015
87,Toap Sdach,570865,1255596
88,Trapeang Skon,558213,1251957
89,Pou Roung,563353,1252343
90,Prey Trakhob,561834,1250866
91,Ba Reach,552452,1256577
92,Svay Chrum,562865,1256562
93,Boeng Antong,564953,1257105
94,Svay Otdam,563353,1257605
95,Chek Thloak,560965,1249661
96,Tbaeng,560479,1246514
97,Chrey Otdam,529428,1222849
98,Tonle Chrey,530131,1295726
99,Chong Krouch,521872,1289101
100,Snay Poal,524130,1289102
101,Svay Teab,548212,1295676
102,Peanea,550511,1295143
103,Prey Banteay,568929,1243066
104,Sameakki,497020,1216127
105,Sramaoch Hae,480810,1240085
106,Trach Koh,467870,1240811
107,Tbaeng,479082,1254107
108,Samraong Chrey,472417,1252417
109,Daeum Kray,477250,1244686
110,Doung Khpos,492125,1230659
111,Angk Krasang,493788,1233673
112,Saiva,486861,1233919
113,Trapeang Sdok,484729,1237033
114,Khnach Khang Cheung,468000,1231346
115,Thkov,480988,1228893
116,Trapeang Trav,478693,1233088
117,Angk Baksei,460123,1222049
118,Cheung Chhnok,493468,1312903
119,Stueng Chveng,500663,1317497
120,Tang Thlaeung,493496,1329590
121,Boeng Trav,517738,1322334
122,Khsach Prachheh Leu,566822,1359031
123,Sdok,455362,1293910
124,Senson Tboung,516197,1331238
125,Chek Thlok,560965,1249661
126,Pou Roung,563353,1252343
127,Ba Reach,552452,1256577
128,Roung Damrei,542172,1244454
129,Sramaoch Haer,480810,1240085
130,Sameakki,497704,1303906
131,Boeng,545082,1280855
