1,Tang Krang,494617,1314287
2,Sambour,484206,1312505
3,Ta Poy,490786,1314119
4,Tang Kouk,492319,1309815
5,Lvea Cheung,531416,1364328
6,Rovieng,502498,1330452
7,Doun Tao,511632,1348107
8,Angk,514080,1338443
9,Kouk Totea,538694,1326704
10,Pou Sala Ti Pir,529241,1325251
11,Boeng Sang Kaeut,520653,1320656
12,Tuol Khleang,552158,1313480
13,Tuol Khvav,518980,1343022
14,Klaeng Poar,525805,1328329
15,Khnar Sar,511500,1303300
16,Veal,506507,1308169
17,Ta Kay,518148,1315172
18,Roka Tvear,512513,1308086
19,Peam Krau,573626,1358744
20,Chob Ti Muoy,566404,1317719
21,Sala Lekh Pram,469859,1319253
22,Trapeang Trach,461478,1341805
23,Trapeang Tuk,458389,1232151
24,Noreay,462059,1231610
25,Preah Mlob,455022,1238461
26,Chhuk Kieb,441390,1233058
27,Prey Edth,460348,1227020
28,Prey Ta Phem,463044,1231256
29,Ruessei Yul,446060,1244871
30,Toap Mreak,446346,1236796
31,Trapeang Teab,448500,1239100
32,Tram Sasar,452632,1237560
33,Trapeang Sya,456188,1241404
34,Chamkar Doung,445981,1267366
35,Nhor,445144,1265363
36,Angk Roung,467063,1243280
37,Prey Dang Tuek,468531,1260352
38,Tuol Tbaeng,466326,1240655
39,Soukong,465138,1245063
40,Traeuy Trak,465140,1246280
41,Krang Chek,448672,1280426
42,Tumnob Bak,463550,1286705
43,Krang Samrae,429060,1250223
44,Dambouk Khpos,417021,1238862
45,Thmei,448169,1295623
46,Krang Ta Char,448909,1295459
47,Tras,515135,1380566
48,Prasat,511593,1368124
49,Reaksmei Rumdaoh,515038,1353453
50,Khloy Kaeut,515025,1353188
51,Siem Reay,513288,1353364
52,Veal Ampil,514338,1365023
53,San Kor Ka,472072,1415607
54,Sbov Andaet,453303,1193253
55,Phnum Trael,462502,1190254
56,Ta Lang,444325,1194741
57,Boeng,436627,1193402
58,Kaoh Ruessei,432470,1192793
59,Tramaeng,446934,1197535
60,Ta Teaen,443517,1204621
61,Prey Khley,440824,1217752
62,Srae Chaeng,440391,1215399
63,Thum Thmei,438331,1184085
64,Preaek Pok,440323,1180182
65,Trapeang Reang,433306,1191798
66,Prey Totueng,476866,1260507
67,Preaek Thmei,517401,1295302
68,Svay At Leu,500973,1298051
69,Anlong,502325,1297469
70,Sanlung,507538,1291690
71,Svay Damnak,504816,1305524
72,Vihear Suork Cheung,506505,1289930
73,Preaek Ta Duong,507119,1233997
74,Kdei Kandal,500965,1277180
75,Daeum Chrey,498973,1309432
76,Kampong Prasat,496074,1310290
77,Angk Ta Set,465963,1284372
78,Ta Pet,476482,1293218
79,Thmei,477893,1299393
80,Damrei Chhlang,505692,1244829
81,Koun Chreae,501152,1240041
82,Preaek Ta Prak,505269,1247576
83,Phum 3,493479,1281314
84,Angkrong,549392,1251711
85,Ruessei K'aek,548449,1252452
86,Kbal Damrei,547975,1248187
87,Dei Thoy,547944,1249499
88,Kandal,551653,1253205
89,Boeng Preah,550505,1252933
90,Chan Ra Ka,555394,1243476
91,Thloak,554613,1248997
92,Prey Nheat,567251,1229909
93,Prey Mnoas,564810,1232660
94,Pou Roung,563353,1252343
95,Ou Sangkae,554953,1251990
96,Ponley,535409,1254883
97,Ba Baong,535835,1258627
98,Kampong Popil,515396,1288216
99,Andoung,517095,1293606
100,Tumpeang Chreus,529407,1282181
101,Me Loung,525468,1283325
102,Kor,525805,1295151
103,Prohut,526261,1295543
104,Krang,525752,1299127
105,Prey Sralet,523785,1295972
106,Peareang,522968,1287822
107,Thlok,569041,1231225
108,Kampong Luong,497548,1215260
109,Bacham,479583,1242557
110,Trapeang Trayueng,482158,1242336
111,Chbar Mon,468110,1242978
112,Chheu Teal Chrum,471439,1243039
113,Rovieng,471434,1251561
114,Thmei,489981,1239795
115,Tram Sasar,474948,1243757
116,Khsach Lob,478872,1245243
117,Han Tea,468532,1178184
118,Svay Pear,491678,1224576
119,Angkanh,492620,1224420
120,Samraong,488596,1232579
121,Angk Chruk,489038,1228311
122,Kampong Reab,501840,1230747
123,Kampong Sama,502456,1231941
124,Trapeang Svay,487977,1233866
125,Kdei Ta Hok,493613,1229255
126,Prey Phdau Tboung,485984,1231124
127,Snuol Khpos,484353,1235450
128,Kaev Chamraeun,486257,1234380
129,Romon,468892,1231398
130,Pech Changva,468061,1229248
131,Thkov,480988,1228893
132,Angkor Phdiek,473373,1229669
133,Kok Ta Rie,476904,1239327
134,Rovieng,478502,1239350
135,Trapeang Khnar,464019,1214012
136,Trapeang Kaes,452549,1204187
137,Thmei,448169,1295623
138,Sala Lekh Pram,469859,1319253
139,Boeng,436627,1193402
140,Ta Lang,444325,1194741
141,Ta Pet,476482,1293218
142,Angkrong,549392,1251711
143,Roka Tvear,512513,1308086
144,THMEY,448169,1295623
145,Pou Chentam,546225,1279688
146,Chrey Roleung,555070,1264502
