Environmental factor,k,Regression coefficient,Q statistic,p(Q) > 0,BF
Land_cover_forests_RABV_CA_04 (C),10,0.129 [0.092 - 0.173],-0.014 [-0.039 - 0.006],0.1,-
Land_cover_forests_RABV_CA_04 (C),100,0.099 [0.063 - 0.142],-0.044 [-0.08 - -0.01],0,-
Land_cover_forests_RABV_CA_04 (C),1000,0.069 [0.035 - 0.11],-0.075 [-0.115 - -0.035],0,-
Land_cover_forests_RABV_CA_04 (R),10,0.092 [0.054 - 0.145],-0.05 [-0.089 - -0.01],0.01,-
Land_cover_forests_RABV_CA_04 (R),100,0.023 [0.005 - 0.066],-0.118 [-0.163 - -0.073],0,-
Land_cover_forests_RABV_CA_04 (R),1000,0.012 [0.001 - 0.048],-0.128 [-0.174 - -0.084],0,-
Land_cover_savannas_RABV_CA_04 (C),10,0.152 [0.112 - 0.199],0.009 [-0.012 - 0.022],0.84,-
Land_cover_savannas_RABV_CA_04 (C),100,0.12 [0.083 - 0.162],-0.023 [-0.057 - 0.004],0.05,-
Land_cover_savannas_RABV_CA_04 (C),1000,0.085 [0.051 - 0.121],-0.059 [-0.102 - -0.022],0,-
Land_cover_savannas_RABV_CA_04 (R),10,0.049 [0.032 - 0.079],-0.094 [-0.124 - -0.068],0,-
Land_cover_savannas_RABV_CA_04 (R),100,0.004 [0.001 - 0.02],-0.138 [-0.182 - -0.1],0,-
Land_cover_savannas_RABV_CA_04 (R),1000,0.001 [0 - 0.012],-0.142 [-0.187 - -0.103],0,-
Land_cover_grasslands_RABV_CA_04 (C),10,0.136 [0.099 - 0.181],-0.007 [-0.017 - 0.001],0.03,-
Land_cover_grasslands_RABV_CA_04 (C),100,0.109 [0.072 - 0.149],-0.036 [-0.059 - -0.014],0,-
Land_cover_grasslands_RABV_CA_04 (C),1000,0.079 [0.046 - 0.119],-0.064 [-0.095 - -0.034],0,-
Land_cover_grasslands_RABV_CA_04 (R),10,0.134 [0.09 - 0.182],-0.007 [-0.041 - 0.008],0.16,-
Land_cover_grasslands_RABV_CA_04 (R),100,0.042 [0.006 - 0.096],-0.102 [-0.159 - -0.047],0,-
Land_cover_grasslands_RABV_CA_04 (R),1000,0.005 [0 - 0.029],-0.137 [-0.182 - -0.095],0,-
Land_cover_croplands_RABV_CA_04 (C),10,0.074 [0.044 - 0.115],-0.069 [-0.101 - -0.038],0,-
Land_cover_croplands_RABV_CA_04 (C),100,0.013 [0.004 - 0.046],-0.128 [-0.17 - -0.087],0,-
Land_cover_croplands_RABV_CA_04 (C),1000,0.001 [0 - 0.027],-0.14 [-0.187 - -0.099],0,-
Land_cover_croplands_RABV_CA_04 (R),10,0.116 [0.078 - 0.163],-0.028 [-0.056 - -0.001],0.02,-
Land_cover_croplands_RABV_CA_04 (R),100,0.105 [0.068 - 0.15],-0.039 [-0.072 - -0.009],0.01,-
Land_cover_croplands_RABV_CA_04 (R),1000,0.103 [0.066 - 0.148],-0.042 [-0.075 - -0.011],0,-
Land_cover_water_RABV_CA_04 (C),10,0.1 [0.066 - 0.141],-0.043 [-0.073 - -0.014],0,-
Land_cover_water_RABV_CA_04 (C),100,0.049 [0.023 - 0.082],-0.094 [-0.134 - -0.056],0,-
Land_cover_water_RABV_CA_04 (C),1000,0.03 [0.01 - 0.061],-0.112 [-0.153 - -0.074],0,-
Land_cover_water_RABV_CA_04 (R),10,0.059 [0.03 - 0.102],-0.085 [-0.129 - -0.036],0,-
Land_cover_water_RABV_CA_04 (R),100,0.002 [0 - 0.026],-0.14 [-0.184 - -0.097],0,-
Land_cover_water_RABV_CA_04 (R),1000,0.001 [0 - 0.016],-0.142 [-0.187 - -0.1],0,-
Human_pop_density_RABV_CA_04 (C),10,0.123 [0.086 - 0.167],-0.021 [-0.033 - -0.007],0,-
Human_pop_density_RABV_CA_04 (C),100,0.094 [0.061 - 0.14],-0.049 [-0.071 - -0.026],0,-
Human_pop_density_RABV_CA_04 (C),1000,0.07 [0.04 - 0.115],-0.073 [-0.104 - -0.04],0,-
Human_pop_density_RABV_CA_04 (R),10,0.144 [0.108 - 0.19],0 [-0.025 - 0.027],0.51,-
Human_pop_density_RABV_CA_04 (R),100,0.041 [0.018 - 0.083],-0.101 [-0.146 - -0.053],0,-
Human_pop_density_RABV_CA_04 (R),1000,0.018 [0.004 - 0.048],-0.124 [-0.171 - -0.079],0,-
Elevation_RABV_CA_04 (C),10,0.148 [0.11 - 0.193],0.005 [-0.007 - 0.014],0.81,-
Elevation_RABV_CA_04 (C),100,0.113 [0.075 - 0.153],-0.03 [-0.067 - 0],0.03,-
Elevation_RABV_CA_04 (C),1000,0.063 [0.034 - 0.105],-0.08 [-0.123 - -0.034],0,-
Elevation_RABV_CA_04 (R),10,0.121 [0.086 - 0.162],-0.023 [-0.036 - -0.009],0,-
Elevation_RABV_CA_04 (R),100,0.047 [0.025 - 0.081],-0.095 [-0.131 - -0.064],0,-
Elevation_RABV_CA_04 (R),1000,0.022 [0.009 - 0.049],-0.12 [-0.158 - -0.084],0,-
Annual_mean_temperature_RABV_CA_04 (C),10,0.142 [0.102 - 0.189],-0.001 [-0.006 - 0.008],0.16,-
Annual_mean_temperature_RABV_CA_04 (C),100,0.142 [0.102 - 0.189],-0.002 [-0.006 - 0.008],0.15,-
Annual_mean_temperature_RABV_CA_04 (C),1000,0.142 [0.102 - 0.189],-0.002 [-0.006 - 0.008],0.15,-
Annual_mean_temperature_RABV_CA_04 (R),10,0.145 [0.105 - 0.192],0.001 [-0.003 - 0.011],0.75,-
Annual_mean_temperature_RABV_CA_04 (R),100,0.145 [0.105 - 0.192],0.001 [-0.003 - 0.011],0.76,-
Annual_mean_temperature_RABV_CA_04 (R),1000,0.145 [0.105 - 0.192],0.001 [-0.003 - 0.011],0.76,-
Annual_precipitation_RABV_CA_04 (C),10,0.146 [0.107 - 0.192],0.003 [-0.01 - 0.016],0.69,-
Annual_precipitation_RABV_CA_04 (C),100,0.146 [0.106 - 0.19],0.002 [-0.014 - 0.016],0.61,-
Annual_precipitation_RABV_CA_04 (C),1000,0.146 [0.106 - 0.19],0.002 [-0.014 - 0.016],0.6,-
Annual_precipitation_RABV_CA_04 (R),10,0.124 [0.084 - 0.167],-0.02 [-0.033 - -0.006],0.01,-
Annual_precipitation_RABV_CA_04 (R),100,0.117 [0.078 - 0.159],-0.027 [-0.043 - -0.01],0.01,-
Annual_precipitation_RABV_CA_04 (R),1000,0.116 [0.077 - 0.159],-0.028 [-0.044 - -0.011],0.01,-
